Date,Case_US,Case_India,Case_Brazil,Case_Germany,Case_France
1/1/2022,55099948,34889132,22295621,7109182,9980940
1/2/2022,55396191,34922882,22297427,7109182,10039372
1/3/2022,56438983,34960261,22309081,7109182,10106833
1/4/2022,57267794,35018358,22328252,7238408,10371017
1/5/2022,57943576,35109286,22351104,7297320,10693911
1/6/2022,58788182,35226386,22386930,7361660,10952698
1/7/2022,59667177,35368372,22450222,7417995,11275841
1/8/2022,60075853,35528004,22499525,7417995,11579510
1/9/2022,60569265,35707727,22529183,7417995,11875607
1/10/2022,61923770,35875790,22563104,7535691,11963184
1/11/2022,62709985,36070510,22636359,7581381,12322734
1/12/2022,63563852,36317927,22724232,7661811,12655210
1/13/2022,64429141,36582129,22822177,7743228,12956857
1/14/2022,65308292,36850962,22933289,7835451,13279505
1/15/2022,65724593,37122164,22981851,7835451,13604085
1/16/2022,66210693,37380253,23015128,7835451,13882214
1/17/2022,66870941,37618271,23089509,8000122,13971316
1/18/2022,68003787,37901241,23229851,8074527,14432833
1/19/2022,68913628,38218773,23425392,8186850,14864061
1/20/2022,69644507,38566027,23595178,8320386,15254588
1/21/2022,70450244,38903731,23766499,8460546,15652063
1/22/2022,70760203,39237264,23931609,8460546,16041383
1/23/2022,71131122,39543328,24054405,8460546,16342997
1/24/2022,72039869,39799202,24142032,8744840,16446852
1/25/2022,72532127,40085116,24342322,8871795,16948487
1/26/2022,73209225,40371500,24560093,9035795,17310548
1/27/2022,73712510,40622709,24789795,9238931,17696796
1/28/2022,74325157,40858241,25050601,9429079,18048584
1/29/2022,74507829,41092522,25256198,9429079,18380982
1/30/2022,74708840,41302440,25360647,9429079,18630430
1/31/2022,75244152,41469499,25463530,9815533,18713087
2/1/2022,75570589,41630885,25634781,9978146,19112755
2/2/2022,75897686,41803318,25820745,10186644,19378646
2/3/2022,76171309,41952712,26107894,10422764,19649274
2/4/2022,76526048,42080664,26326454,10671602,19890150
2/5/2022,76614468,42188138,26484546,10671602,20104692
2/6/2022,76699490,42272014,26546399,10671602,20260131
2/7/2022,77042080,42339611,26616014,11117857,20303662
2/8/2022,77255897,42410976,26793497,11287428,20538622
2/9/2022,77443048,42478060,26972914,11521678,20504667
2/10/2022,77613413,42536137,27135550,11769540,20834193
2/11/2022,77821582,42586544,27299336,12009712,20957064
2/12/2022,77874376,42631421,27434286,12009712,21075675
2/13/2022,77933572,42665534,27492904,12009712,21162237
2/14/2022,78100771,42692943,27552267,12421126,21186090
2/15/2022,78211154,42723558,27677468,12580343,21186090
2/16/2022,78324961,42754315,27819996,12800315,21397630
2/17/2022,78426229,42780235,27940119,13035941,21489937
2/18/2022,78570116,42802505,28072238,13255989,21572490
2/19/2022,78602274,42822473,28177367,13255989,21649042
2/20/2022,78625816,42838524,28218180,13255989,21708045
2/21/2022,78705461,42851929,28258458,13636993,21717576
2/22/2022,78794643,42867031,28361951,13762895,21801326
2/23/2022,78878687,42881179,28493336,13971947,21866657
2/24/2022,78945215,42894345,28589235,14188269,21933357
2/25/2022,79018857,42905844,28679671,14399012,21991477
2/26/2022,79066699,42916117,28749552,14399012,22045100
2/27/2022,79085232,42924130,28776794,14399012,22087700
